,SAN,BTO_1,BKIA_0,BKIA,NTGY,TRE,ACX_0,ACX,FER,ACS,ELE_0,ELE,SAB,CRI,OHL,IBR,EBRO_0,EBRO_1,AMS,AENA,ITX,MTS,IAG,VIS_0,VIS,IBLA,BBVA,MAP,BME,CIE,MAS,IBE,ABG,ENG,SCYR_1,REP,ABE,ABG.P_0,ABG.P_1,ANA_0,ANA,EVA,GRF,CLNX,MRL,BKT,POP,ENC,IDR,SGRE_0,SGRE,MEL,TL5,REE,COL,JAZ,TEF,FCC,CABK,DIA,ALM,REE_0,CIN,LOR,UNF,ZEL,NHH_0,NHH_1,MAP_0,ALT,BTO_0,FAD,DRC,PRS_1,SCYR_0,TEM,CAR,AGS,COL_0,A3TV,SGC,PHM,SLR,FDR,ROVI
2003-08-13,2.4048158016,,,,5.9244609740000005,,5.0747364156,,,5.2465057673,2.2309495065,,,,,,,,,,3.0050357203,,,,,1.4,3.6101245293,,,,,1.5121630041,,3.0318260864,,4.726827332,3.0577226678,,,26.939505839,,,,,,2.0580688946,12.04,,6.54,4.6468442901,,,,,,,3.2202400177,10.566830282,,,,1.3387569498,,9.85,3.93,6.09,6.4677449159,,0.8374806544000001,20.01,,,18.21,,4.8301445746,6.5,,,,,19.14,,,,
2003-08-14,2.4048158016,,,,5.9772233491,,5.1095545042,,,5.2465057673,2.261615479,,,,,,,,,,2.9964253028,,,,,1.4100000000000001,3.6706716913,,,,,1.5348454492,,3.0318260864,,4.8081087543,3.1032244933,,,27.385148005,,,,,,2.066139753,12.21,,6.48,4.7377967584,,,,,,,3.3069131445,10.594589031,,,,1.3340221771,,9.88,3.93,6.14,6.5339352878,,0.8453814154,19.88,,,18.33,,4.8626708006,6.58,,,,,19.28,,,,
2003-08-18,2.4048158016,,,,5.9847608312,,5.3184630359,,,5.2837150278,2.2999479448,,,,,,,,,,3.0222565552,,,,,1.46,3.7085136676,,,,,1.5802103392,,3.011154545,,4.8643805085,3.1032244933,,,27.490004986,,,,,,2.0822814697,12.04,,6.47,4.7543335707,,,,,,,3.3669176171,10.566830282,,,,1.3363895635,,10.32,3.91,6.16,6.6379487295,,0.8374806544000001,19.37,,,18.36,,4.8464076875,6.65,,,,,19.36,,,,
2003-08-19,2.4048158016,,,,5.9847608312,,5.2923494695,,,5.2539476194,2.3152809311,,,,,,,,,,3.0136461378,,,,,1.45,3.723650458,,,,,1.5575278941000001,,3.0387166002,,4.8831377597,3.1032244933,,,27.280291025,,,,,,2.0742106113,11.99,,6.54,4.7791387894,,,,,,,3.4069205985,10.74263569,,,,1.3375732566,,10.58,3.91,6.14,6.7041391014,,0.8374806544000001,19.56,,,18.47,,4.8545392441,6.7,,,,,19.58,,,,
2003-08-20,2.4048158016,,,,5.9847608312,,5.3358720802,,,5.2762731758,2.2999479448,,,,,,,,,,3.0480878081,,,,,1.43,3.7085136676,,,,,1.5802103392,,2.9973735172,,4.9081474282,3.0941241282,,,26.983196247,,,,,,2.0742106113,12.12,,6.58,4.8535544453,,,,,,,3.3802519441,10.631600696,,,,1.3269200183,,10.51,3.89,6.14,6.8459756127,,0.8295798936000001,19.76,,,18.43,,4.8545392441,6.69,,,,,19.5,,,,
2003-08-21,2.4048158016,,,,5.9772233491,,5.3184630359,,,5.2762731758,2.2999479448,,,,,,,,,,3.0911398957,,,,,1.43,3.7690608294,,,,,1.5726495243,,2.9767019756,,4.9456619308,3.075923398,,,27.350195678,,,,,,2.1145649034,12.04,,6.57,4.8948964763,,,,,,,3.4269220894,10.594589031,,,,1.3494101881,,10.75,3.91,6.11,6.808152543,,0.8374806544000001,19.99,,,18.4,,4.8789339135,6.71,,,,,19.76,,,,
2003-08-22,2.4048158016,,,,5.9847608312,,5.3706901689,,,5.2688313237,2.2999479448,,,,,,,,,,3.0911398957,,,,,1.42,3.7160820626,,,,,1.5953319692,,2.9560304343,,4.9831764332,3.0668230329,,,27.472528822,,,,,,2.1145649034,12.07,,6.58,4.8866280701,,,,,,,3.3935862713000002,10.696371109,,,,1.339940643,,10.8,3.89,6.1,6.808152543,,0.8295798936000001,20.07,,,18.4,,4.8545392441,6.7,,,,,19.59,,,,
2003-08-25,2.4048158016,,,,5.9847608312,,5.2923494695,,,5.2762731758,2.2692819722,,,,,,,,,,3.0653086429,,,,,1.4100000000000001,3.6858084818,,,,,1.5953319692,,2.9215778651,,4.9894288504,3.0577226678,,,27.393886087,,,,,,2.106494045,11.99,,6.49,4.878359664,,,,,,,3.3602504533,10.640853612,,,,1.3375732566,,10.56,3.89,6.13,6.8932544498,,0.8216791326,19.98,,,18.4,,4.8626708006,6.73,,,,,20.01,,,,
2003-08-26,2.4048158016,,,,6.0299857241,,5.1530771149,,,5.2762731758,2.2539489858,,,,,,,,,,3.0911398957,,,,,1.42,3.663103296,,,,,1.5953319692,,2.9422494066000002,,4.9456619308,3.0577226678,,,27.350195678,,,,,,2.0903523281,12.16,,6.52,4.9279701012,,,,,,,3.3202474717,10.696371109,,,,1.3340221771,,10.24,3.85,6.07,6.8459756127,,0.8137783718,19.82,,,18.39,,4.8464076875,6.65,,,,,19.87,,,,
2003-08-27,2.4048158016,,,,5.9772233491,,5.21400877,,,5.2688313237,2.2462824927,,,,,,,,,,3.1341919834,,,,,1.42,3.6479665056,,,,,1.5953319692,,2.9629209481,,4.9581667648,3.075923398,,,27.140481718,,,,,,2.0822814697,12.12,,6.46,4.837017633,,,,,,,3.3402489626,10.890682349,,,,1.3340221771,,10.24,3.8200000000000003,5.94,6.8743429149,,0.8137783718,19.91,,,18.39,,4.8545392441,6.71,,,,,19.82,,,,
2003-08-28,2.4048158016,,,,5.9847608312,,5.2923494695,,,5.2985987323,2.2692819722,,,,,,,,,,3.1083607307,,,,,1.42,3.6858084818,,,,,1.5953319692,,2.9491399203,,5.0019336846,3.075923398,,,27.289029106,,,,,,2.0903523281,12.04,,6.51,4.9362385074,,,,,,,3.3602504533,11.020223175,,,,1.341124336,,10.38,3.86,5.96,6.8932544498,,0.8216791326,19.79,,,18.42,,4.8789339135,6.75,,,,,19.9,,,,
2003-08-29,2.4048158016,,,,5.9395359383,,5.2923494695,,,5.2911568801,2.2539489858,,,,,,,,,,3.0480878081,,,,,1.4100000000000001,3.6403981103,,,,,1.5953319692,,2.9009063236,,4.9706715992,3.0668230329,,,26.773482287,,,,,,2.0580688946,11.99,,6.48,4.9858489447,,,,,,,3.3135803081,11.066487756,,,,1.3316547907,,10.2,3.83,5.91,6.9405332869,,0.8137783718,19.62,,,18.45,,4.8789339135,6.69,,,,,19.91,,,,
2003-09-01,2.4048158016,,,,5.9847608312,,5.3619856467,,,5.3581335496,2.2999479448,,,,,,,,,,3.1341919834,,,,,1.43,3.6933768771,,,,,1.5953319692,,2.8664537544,,5.0081861018,3.0668230329,,,27.009410494,,,,,,2.0742106113,12.07,,6.53,4.9858489447,,,,,,,3.3402489626,11.260798996,,,,1.3316547907,,10.74,3.86,5.99,6.9310775195000005,,0.8137783718,19.6,,,18.51,,5.0171703746,6.94,,,,,20.41,,,,
2003-09-02,2.4048158016,,,,6.0299857241,,5.3532811246,,,5.3730172539,2.2999479448,,,,,,,,,,3.1858544886,,,,,1.44,3.6858084818,,,,,1.5802103392,,2.8733442681,,5.0394481872,3.0577226678,,,27.20164829,,,,,,2.0742106113,12.07,,6.74,5.0106541632,,,,,,,3.3469161261,11.066487756,,,,1.3281037114,,10.68,3.91,5.93,6.9027102172,,0.8216791326,19.4,,,18.65,,5.0822228267,6.94,,,,,20.49,,,,
